Repository Name,Stars,Repository Age,Accepted Pull Requests,Total Releases,Time since last update,Primary Language,Primary Language Number,Closed Issues %
Microsoft-Activation-Scripts,41534,1332,2,7,76052,Batchfile,27,0.9891304347826086
x64dbg,41524,3069,635,3,84371,C++,4,0.7620263942103023
openpilot,41473,2477,7834,52,76598,Python,2,0.9051126516464472
hyper,41441,2623,2989,88,83239,TypeScript,0,0.77052289352479
yolov5,41334,1206,1991,10,76318,Python,2,0.9798881351898132
yarn,41261,2786,1652,150,28218,JavaScript,3,0.7177829099307159
marktext,41254,2124,936,36,76970,JavaScript,3,0.6189926951172626
git-flight-rules,41243,3332,219,0,15677,none,1,0.75
trackerslist,41159,2691,1,0,82298,none,1,0.9796954314720813
llama,41102,204,26,0,76885,Python,2,0.5689102564102564
pixijs,40832,3879,2832,206,75679,TypeScript,0,0.9686843612755395
ChatGPT,40815,273,118,34,85822,Rust,13,0.39180537772087065
bypass-paywalls-chrome,40802,1977,132,33,80921,JavaScript,3,1.0
gpt_academic,40799,170,78,22,82968,Python,2,0.7169398907103826
minio,40674,3156,8523,417,76953,Go,10,0.9962836331202616
PowerShell,40490,2792,6417,146,80654,C#,11,0.6998071190601438
vue2-elm,40332,2448,21,0,12354,Vue,15,0.8193548387096774
llama.cpp,40166,179,949,739,75876,C,6,0.6412151067323482
rclone,40108,3461,1639,95,76972,Go,10,0.841
core,40045,1912,2038,156,78063,TypeScript,0,0.8371177015755329
Motrix,40023,1723,192,21,79408,JavaScript,3,0.46694560669456064
joplin,38401,2423,2270,300,79149,TypeScript,0,0.9413971770591388
zx,38380,854,113,58,82060,JavaScript,3,0.8696883852691218
powerlevel10k,38352,1654,143,32,80118,Shell,5,0.9863945578231292
AppFlowy,38282,812,1508,43,78580,Dart,28,0.664218958611482
gitea,38202,2500,13303,174,81696,Go,10,0.815660263588595
30-Days-Of-JavaScript,38201,1353,98,0,76034,JavaScript,3,0.3795620437956204
FFmpeg,38200,4528,16,0,76071,C,6,0
dive,38184,1942,135,25,75878,Go,10,0.5567010309278351
front-end-interview-handbook,38162,2061,229,0,75644,MDX,29,0.8172043010752689
edex-ui,38137,2412,399,29,80657,JavaScript,3,0.9892665474060823
grpc,38871,3193,18588,266,78095,C++,4,0.946225723708318
materialize,38838,3280,449,41,22612,JavaScript,3,0.8806284728875263
CppCoreGuidelines,38772,2939,778,4,79348,Python,2,0.7936936936936937
terraform,38737,3463,10918,262,666,Go,10,0.9146383953013787
discourse,38696,3889,20187,0,1992,Ruby,23,0
meilisearch,38668,1962,1421,150,78,Rust,13,0.929153605015674
